obsid,video_id,year,n_rows,n_codeable_turns,n_teacher_turns,n_chars,shared_video_id,sha256
2969,404,2,614,614,283,32253,,d4a711dd0c704f8a2fe115e77779892c2f50ecc2114360e934ad6c635a8b9f25
2971,538,2,209,209,103,23233,,e299a290c855697b3668bd8d301595fc0ba3e9a208a7a1b25c296811f87f25b6
2972,511,2,206,206,129,14603,,26ed842739ab903a9251bb494c4bb4d376afa55df8a36cd25d3fcdeca38169fe
2973,401,2,27,27,14,23109,,9bb066aa4d7bd9baf059a4cbd8d6f8a2d46124cd6db4c0b934a3890666e7aed9
2975,451,2,34,34,17,13067,,4560a80c3f819bef364b32a8dbfc537ecc6b561ed587142f52a0393d28b70626
2977,421,2,179,179,86,22926,,3187f8f181fda1ea55ac002ec1500862ee2bd609b15881f2cae69493e683c116
2978,417,2,120,120,64,19865,,02f42cf924d8fda632b5cc64fc7a194da079d7f890cb481b95dc6e92e8e042c2
2979,422,2,107,107,53,24661,,46f453560f4c33e503cfdb2479264371b02616dbedd05c17636aa29b5d83c980
2980,403,2,287,287,148,18400,,69982c8843d4b65ff3422232790dbe5ff3ff12553b3ab17521a6073142236140
2981,426,2,314,314,153,29536,,53aff0d187a3d054b3c2103b6d36bb6f409205a4958d8684fe3b2a68cf9bcf75
2983,423,2,373,373,180,27074,,09f3e7bd09e4eb2adcc2414a39fd4cba9a0e58177c7f65ced6fdd6b57394409b
2984,424,2,354,354,174,31756,,3f3ac99d5fecaeaafd28ea24b9276798f0f142d49ab89607c235359fdbc63a46
2985,456,2,173,173,93,20908,,faa843f211251b835c31a075e3ea8d1c15215670384149b98c1a5315b49c73ac
2986,425,2,437,437,217,26742,,6557f70cf8fadf7910dfd1a9aeb5066abf41d0dc165ebf664a457cec19c56603
2987,327,2,281,281,140,42380,,1fbe2f4970583ab3ce406b9ebc6dcc510ce386bd2d241f3c8c13c862da49e76b
2988,806,2,269,269,132,29273,,39fb62f74b6cc33609f191f23c3bbee5e6840178d05918425c5bda0f2fefcec3
